track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,umur,calm,energic,sad,happy
5A7NOX2i6Sp4xE2fNlBV5X,Cit Cit cuit,Joshua S,0.599,0.759,2,-5.131,1,0.145,0.619,5.49e-06,0.449,0.531,136.267,640011,4,anak-anak,1,0,1,1
3buZ2OEK3WeWVyMcDyGml2,Andai Aku Jadi Kaya,Joshua Suherman,0.788,0.447,5,-11.77,0,0.0776,0.669,0.00153,0.316,0.63,135.224,193190,4,anak-anak,1,0,0,1
79QHO70hhBVCJwBmaUInZG,Pelangiku,Sherina Munaf,0.484,0.55,7,-4.207,1,0.0304,0.647,0.000891,0.121,0.386,107.949,211427,4,anak-anak,1,0,1,0
2uV8QHdG3gKN2zjTEQmfte,Dua Balerina,Sherina Munaf,0.357,0.389,4,-6.86,0,0.0301,0.865,5.71e-05,0.353,0.411,100.21,192733,4,anak-anak,1,0,1,0
6o1T02zgmG4wpDqXiaskz5,Kembali Ke Sekolah,Sherina Munaf,0.674,0.829,0,-2.648,1,0.0849,0.0841,7.52e-06,0.0497,0.764,112.057,278333,4,anak-anak,1,0,0,0
6VBA2cF4Ovyts2kFDeKTgo,Bermain Musik,Sherina Munaf,0.682,0.739,0,-2.686,1,0.0447,0.0277,1.01e-05,0.0683,0.855,89.85,256373,4,anak-anak,1,0,0,0
4LGHwvMuAHiIqh8HAuYOLt,Balon Udaraku,Sherina Munaf,0.519,0.716,5,-3.456,0,0.197,0.107,4.38e-06,0.346,0.491,187.676,323133,4,anak-anak,0,1,1,1
6ZdfWYpywJdJ5cZqCo2mWp,Dua Balerina,Sherina Munaf,0.46,0.39,4,-5.706,0,0.0255,0.846,1.16e-05,0.347,0.48,98.967,189493,1,anak-anak,1,0,1,0
6ZZjBlyigcxByftkyNIMxb,Andai Aku Besar Nanti,Sherina Munaf,0.196,0.707,3,-3.012,1,0.045,0.64,0.0122,0.107,0.187,168.568,297907,4,anak-anak,1,1,1,1
5eYFbnP5xeAnesZfXziHP5,Menikmati Hari,Sherina Munaf,0.698,0.693,0,-8.106,1,0.0486,0.633,0.0117,0.529,0.735,98.269,252013,4,anak-anak,1,0,0,0
2iE1BEmjrSYPNlX9KIZm53,Lihatlah Lebih Dekat,Sherina Munaf,0.382,0.32,2,-10.065,0,0.0334,0.898,0.0023,0.0999,0.234,76.367,288507,4,anak-anak,1,0,1,0
5zYcIOCtgWj2oLMvz5p7rk,Lihatlah Lebih Dekat,Sherina Munaf,0.356,0.311,0,-9.758,1,0.0323,0.896,5.1e-05,0.0731,0.269,75.61,288187,4,anak-anak,1,0,1,0
1Yqn7WFPxB5FoKmFJfNCV4,Jagoan,Sherina Munaf,0.771,0.733,7,-8.149,1,0.118,0.237,0.0288,0.142,0.713,101.287,126693,4,anak-anak,1,0,0,0
6Gf7kqnPPeckAGqjtrHxOq,Anak Mami,Sherina Munaf,0.644,0.557,2,-8.29,1,0.0609,0.718,0.105,0.11,0.735,92.375,234960,4,anak-anak,1,0,0,0
3wd1VV5lk8SxJjYLJ6egIc,Bintang-Bintang,Sherina Munaf,0.256,0.291,7,-10.64,1,0.0319,0.442,5.58e-06,0.0707,0.227,109.568,190987,3,anak-anak,1,0,1,0
2JtrDVDBTeTywtJRAJMUrQ,Persahabatan,Sherina Munaf,0.596,0.583,0,-7.982,1,0.0653,0.667,0.00336,0.186,0.578,90.268,218013,4,anak-anak,1,0,0,0
1Ot8HupWWxuI1nQlkMjj3V,Petualangan Sherina - Theme Song,Sherina Munaf,0.379,0.464,5,-7.858,1,0.0325,0.766,0.00553,0.0892,0.255,78.266,313693,4,anak-anak,1,0,1,0
0ztVU4PfG1NcILzbwtLtTc,Impian Chabelita,Saskia,0.787,0.65,6,-11.183,1,0.0621,0.398,0.00151,0.206,0.569,127.367,238640,4,anak-anak,1,0,0,1
1todOG7MOk0aKIEF07Yhwa,Menabung,Saskia,0.66,0.807,11,-8.8,0,0.0436,0.209,0.0,0.202,0.584,106.386,255333,4,anak-anak,1,0,0,0
4HOwIxuOmwFlIH3xla9kOS,Senyum,Saskia,0.437,0.534,2,-9.97,1,0.0288,0.0544,0.0,0.16,0.43,136.14,179696,3,anak-anak,1,0,1,1
3jWzRqm6fEReBJTN15btQI,Bermain Di Pantai,Saskia,0.663,0.573,7,-10.569,1,0.0759,0.169,0.0,0.0944,0.791,89.874,193953,4,anak-anak,1,0,0,0
1769jmlhaThmpQcMHcc1Dw,Impianku,Natasha Chairani,0.309,0.186,1,-13.885,1,0.0311,0.96,0.000931,0.11,0.177,147.014,322572,4,anak-anak,1,0,1,1
57GHiA9aGtkG13WAS2v9Tz,Libur Telah Tiba,Tasya Rosmala,0.798,0.367,0,-9.768,0,0.039,0.568,0.68,0.0452,0.713,114.872,177853,4,anak-anak,0,0,0,0
4hwQiATuezYgvkdEW9mfcl,Pemandangan,Tasya Rosmala,0.667,0.242,1,-13.503,1,0.0291,0.47,0.0,0.336,0.352,103.683,200600,4,anak-anak,1,0,1,0
1bLrHyK7v1sZ7TjLDF8xRL,Istana Pizza,Tasya Rosmala,0.832,0.565,3,-9.402,1,0.0333,0.697,0.000658,0.0494,0.825,114.978,202067,4,anak-anak,1,0,0,0
4VEqMT5VDfZxp8wBPEowlV,Gembira Berkumpul,Tasya Rosmala,0.881,0.58,7,-8.357,1,0.0424,0.191,0.00079,0.821,0.912,129.387,177933,4,anak-anak,1,0,0,1
2AZtIhGtXuq6MgpYnPDN6m,Aku Anak Gembala,Tasya Rosmala,0.773,0.392,4,-11.682,1,0.0404,0.19,0.286,0.533,0.96,120.005,238427,4,anak-anak,0,0,0,0
4ClT7mFHKnIuNbzXa91fxV,Jangan Takut Gelap,Tasya Rosmala,0.719,0.2,4,-12.97,1,0.0388,0.702,0.0,0.0643,0.515,124.529,189027,4,anak-anak,1,0,1,0
2Pf7DKN872N6rEqhW0wjRN,Salamku Kawan,Tasya Rosmala,0.789,0.456,8,-11.017,1,0.0481,0.175,4.64e-05,0.0841,0.817,144.287,208840,4,anak-anak,1,0,0,1
6Vmow6021v6Nze1bBJfPsy,Barisan Musik,Tasya Rosmala,0.883,0.579,2,-10.722,1,0.0819,0.0881,0.000441,0.0922,0.806,126.013,228973,4,anak-anak,1,0,0,1
4d6nVfe0bIzBOpSdrtmsem,Chabelita Oh Chabelita,Saskia,0.56,0.259,0,-13.417,1,0.0253,0.546,4.85e-05,0.103,0.354,75.97,210973,4,anak-anak,1,0,1,0
4LstpNVzBsmW8Q1tTtLhug,Api Unggun,Tasya Rosmala,0.78,0.473,1,-7.365,1,0.0361,0.423,0.00444,0.0874,0.854,137.644,182467,4,anak-anak,1,0,0,1
6mb6lVLNrcUgLnEN8QnDJd,How Far I'll Go,Auli'i Cravalho,0.571,0.307,1,-10.958,0,0.0499,0.649,0.0,0.178,0.108,83.72,163387,4,anak-anak,1,0,1,0
6U4VqEHy4n5VeiH4pQPL24,You're Welcome,Dwayne Johnson,0.788,0.745,5,-7.072,1,0.258,0.29,0.0,0.0373,0.672,135.278,163893,4,anak-anak,0,0,0,1
